"episode","first","references"
"S07E03","Ellaria",2
"S07E04","Ellaria",0
"S07E05","Ellaria",0
"S07E06","Ellaria",0
"S07E07","Ellaria",0
"S01E01","Gendry",0
"S01E02","Gendry",0
"S01E03","Gendry",0
"S01E04","Gendry",1
"S01E05","Gendry",0
"S01E06","Gendry",0
"S01E07","Gendry",0
"S01E08","Gendry",0
"S01E09","Gendry",0
"S01E10","Gendry",0
"S02E01","Gendry",2
"S02E02","Gendry",4
"S02E03","Gendry",2
"S02E04","Gendry",0
"S02E05","Gendry",0
"S02E06","Gendry",0
"S02E07","Gendry",0
"S02E08","Gendry",0
"S02E09","Gendry",0
"S02E10","Gendry",0
"S03E01","Gendry",0
"S03E02","Gendry",2
"S03E03","Gendry",0
"S03E04","Gendry",0
"S03E05","Gendry",0
"S03E06","Gendry",0
"S03E07","Gendry",1
"S03E08","Gendry",0
"S03E09","Gendry",0
"S03E10","Gendry",1
"S04E01","Gendry",0
"S04E02","Gendry",0
"S04E03","Gendry",0
"S04E04","Gendry",0
"S04E05","Gendry",0
"S04E06","Gendry",0
"S04E07","Gendry",0
"S04E08","Gendry",0
"S04E09","Gendry",0
"S04E10","Gendry",0
"S05E01","Gendry",0
"S05E02","Gendry",0
"S05E03","Gendry",0
"S05E04","Gendry",0
"S05E05","Gendry",0
"S05E06","Gendry",0
"S05E07","Gendry",0
"S05E08","Gendry",0
"S05E09","Gendry",0
"S05E10","Gendry",0
"S06E01","Gendry",0
"S06E02","Gendry",0
"S06E03","Gendry",0
"S06E04","Gendry",0
"S06E05","Gendry",0
"S06E06","Gendry",0
"S06E07","Gendry",0
"S06E08","Gendry",0
"S06E09","Gendry",0
"S06E10","Gendry",0
"S07E01","Gendry",0
"S07E02","Gendry",0
"S07E03","Gendry",0
"S07E04","Gendry",0
"S07E05","Gendry",3
"S07E06","Gendry",1
"S07E07","Gendry",0
"S01E01","Gilly",0
"S01E02","Gilly",0
"S01E03","Gilly",0
"S01E04","Gilly",0
"S01E05","Gilly",0
"S01E06","Gilly",0
"S01E07","Gilly",0
"S01E08","Gilly",0
"S01E09","Gilly",0
"S01E10","Gilly",0
"S02E01","Gilly",0
"S02E02","Gilly",2
"S02E03","Gilly",1
"S02E04","Gilly",0
"S02E05","Gilly",1
"S02E06","Gilly",0
"S02E07","Gilly",0
"S02E08","Gilly",0
"S02E09","Gilly",0
"S02E10","Gilly",2
"S03E01","Gilly",0
"S03E02","Gilly",0
"S03E03","Gilly",0
"S03E04","Gilly",1
"S03E05","Gilly",0
"S03E06","Gilly",0
"S03E07","Gilly",0
"S03E08","Gilly",0
"S03E09","Gilly",0
"S03E10","Gilly",3
"S04E01","Gilly",0
"S04E02","Gilly",0
"S04E03","Gilly",2
"S04E04","Gilly",1
"S04E05","Gilly",0
"S04E06","Gilly",0
"S04E07","Gilly",0
"S04E08","Gilly",0
"S04E09","Gilly",3
"S04E10","Gilly",0
"S05E01","Gilly",0
"S05E02","Gilly",3
"S05E03","Gilly",0
"S05E04","Gilly",0
"S05E05","Gilly",1
"S05E06","Gilly",0
"S05E07","Gilly",1
"S05E08","Gilly",0
"S05E09","Gilly",0
"S05E10","Gilly",2
"S06E01","Gilly",0
"S06E02","Gilly",0
"S06E03","Gilly",0
"S06E04","Gilly",0
"S06E05","Gilly",0
"S06E06","Gilly",4
"S06E07","Gilly",0
"S06E08","Gilly",0
"S06E09","Gilly",0
"S06E10","Gilly",0
"S07E01","Gilly",2
"S07E02","Gilly",1
"S07E03","Gilly",0
"S07E04","Gilly",0
"S07E05","Gilly",1
"S07E06","Gilly",0
"S07E07","Gilly",0
"S01E01","Grey",0
"S01E02","Grey",0
"S01E03","Grey",0
"S01E04","Grey",0
"S01E05","Grey",0
"S01E06","Grey",0
"S01E07","Grey",1
"S01E08","Grey",0
"S01E09","Grey",0
"S01E10","Grey",0
"S02E01","Grey",0
"S02E02","Grey",0
"S02E03","Grey",0
"S02E04","Grey",0
"S02E05","Grey",0
"S02E06","Grey",0
"S02E07","Grey",0
"S02E08","Grey",0
"S02E09","Grey",0
"S02E10","Grey",0
"S03E01","Grey",0
